,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius,Luminosity
57,2MASS J04455387-3048204 [de],42,64,1.00,57,Delta Cephei,0887,4.5,44.5,"2,000"
58,2MASS J04510093-3402150 [de],69,1.04,72,58,Mu Cephei,"06,000",19.2,972,"135,000"
59,2MASS J05002100+0330501 [de],44,64,1.00,59,Titawin,044.25,1.27,1.48,3.57
60,2MASS J05012406-0010452 [de],64,21,1.38,60,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
61,2MASS J05160945-0445499 [de],73,47,0.97,61,P Cygni,"05,545",30,76,"610,000"
62,2MASS J0523−1403,40,68,1.01,62,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
63,2MASS 0532+8246,81,83,,63,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
64,SDSS J053951.99-005902.0,41.62,61,1.01,64,61 Cygni,011.41,0.7,0.665,0.153
65,2MASS J05591914-1404488 [de],34,,,65,R Doradus,0178,0.7 - 1.0,298,"4,350"
66,LSR 0602+3910 [de],34.6,28,1.41,66,Polaris Australis,0281,1.59,3.74,38
67,2MASS J06085283-2753583,102,38,1.51,67,R Coronae Borealis,"04,566",0.85,85,"10,000"
68,WISEP J061135.13-041024.0A,69,65,,68,54 Piscium,036.1,0.76,0.94,0.52
69,WISEP J061135.13-041024.0B,69,53,,69,Mira,0300,1.2,370,"9,000"
70,2MASS J06244595-4521548 [de],39,56,0.99,70,RW Cephei,"014,000",13.9,"1,158","417,000"
71,2MASS J06411840-4322329 [de],65,67,1.01,71,Lacaille 8760,012.87,0.6,0.51,0.072
72,DENIS-P J0652197-253450 [de],51,75,1.05,72,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
73,2MASS J07003664+3157266 [de],40,,,73,HD 140283,0190,?,1.4,3.83
74,2MASS J07075327-4900503,60,72,1.03,74,II Pegasi,0130,0.8,3.4,1.06
75,UGPS J072227.51-054031.2,13.4,26,0.98,75,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
76,2MASSI J0727182+171001 [de],29.6,41,0.94,76,Pistol Star,"025,000",100,320,"1,700,000"
77,2MASS J07290002-3954043 [de],25.8,37,0.94,77,S Doradus,"0169,000",24,380,"910,000"
78,SDSS J074201.41+205520.5 [de],49,43,0.94,78,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"
79,2MASS J0746425+200032 [fr],49.6,,,79,Barnard's Star,05.98,0.14,0.20,0.0035
80,DENIS-P J0751164-253043 [de],55,71,1.03,80,Luhman 16,06.52,0.04,?,?
81,2MASS J07522390+1612157,60,2.01,68,81,Proxima Centauri,04.25,0.12,0.15,0.0017
82,DENIS J081730.0-615520,16.1,44,0.94,82,KIC 8462852,"01,470",1.43,1.58,4.68
83,DENIS J082303.1−491201A,67,44,,83,R136a1,"0163,000",290,32,"8,710,000"
84,DENIS J082303.1−491201B,67,28,,84,Melnick 42,"0163,000",189,21.1,"3,600,000"
85,2MASS J08251968+2115521 [de],35,52,0.98,85,WR 102,"018,134",19,0.39,"282,000"
86,SDSSp J083008.12+482847.4 [de],43,48,0.99,86,VFTS 352,"0164,000",57.48,14.47,"330,000"
87,LHS 2021,55,88,1.15,87,YBP 1194,"02,772",1.01,0.99,0.98
88,SDSS J083048.80+012831.1 [de],77,46,0.96,88,Gliese 1214,047.5,0.16,0.21,0.0033
89,2MASSI J0835425-081923 [de],23.53,62,1.00,89,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
90,2MASSI J0847287-153237 [de],43,64,1.00,90,VB 10,018.72,0.075,0.10,0.0004
91,2MASS J08533619-0329321,27.6,77,1.07,91,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
92,2MASSI J0859254-194926 [de],50,50,0.98,92,TRAPPIST-1,039.6,0.089,0.12,0.0005
93,2MASSW J0920122+351742 [de],95,,,93,2MASS J0523-1403,040.3,0.07,0.086,0.00013
94,2MASSI J0937347+293142,20.0,42,0.94,94,WISE 0855−0714,07.27,0.003,?,?
95,2MASS 0939−2448,17.4,32,0.95,95,Icarus,"014,400,000,000",33,?,"850,000"
